vid,itag,chunk
GjSlsKFHahw,398/251,2186650/820095/859602/977741/1084938/956083/1005706/925828/312901/800735/357285/1283263/818786/2258657/955011/2092948/4501384/5335360/3385700/4290823/4385175/4408973/5344035/6319659/4783778/5904906/4287229
GvZJwJKM5gM,247/251,1550195/502596/709400/697815/573539/1294935/1167603/636332/1267568/561074/1260401/502220/557071/913482/362654/1588136/528413/446404/972216/502345/1183152/439183/902255/592137/610772/555673/308363/636457/394538/637935/506832/511264/515429/561748/409260/576013/498542/447894/594922/423285/493378/642572/366369/414483/270738/384732/539691/477161/508503/329266/473433/320205/575203/592718/514081/515077/397785/625688/672525/531259/699733/563415/817446/661025/514346
gxi6L_BOl2o,398/251,2888670/2625432/2625406/3210144/3114348/2562875/2236918/2685904/2998818/2213918/2555108/2606506/1972682/2547492/2663983/2242074
gY4QfQP2MQQ,247/251,3483783/2096990/800043/1733125/974747/1992498/933417/2607660/1221599/1403059/2574567/896660/2327008/668004/1223447/890759/1205569/1208827/2620241/1192864/1378357/1212988/2562952/1445721/1966793/1770449/1804000/1793473/1739766/1263907/1135477/1077000/1357682/1085547/1146289/1169982/1297034
Gz46muvNC5g,398/251,866642/508022/145703/2270841/983941/1468624/913570/931612/814374/779582/571546/1012499/1395505/393663/1502225/980118/860348/249426/1067928/849666/839627/205478/584086/258665/838415/591739/1415387/529765/535160/410349/452443/787281/583207/617123/479256/428540/511403/395217/313341/456233/451180/379486/335999/436606/257226/528596/302975/546839/489779/484554/590224/286266/421697/439340/519189/317847/230784/609441/426734/433811/381797/770779/290235/570503/841321/681767/189004/583846
hh9kFKVKpSM,398/251,1014095/324965/588484/378848/384456/753513/327287/467677/376413/558393/123026/687967/516652/527953/595348/195568/510011/314757/223802/518914/386265/399250/441999/347241/323535/142425/246654/198394/264301/153922/300157/68702/229107/169238/283403/60154/327091/188763/235562/111199/297577/235065/89481/243415/187043/366179/125115/338183/106567/263401/132928/261433/139903/442842/183848/236700/256484/263959/112349/282392/111730/262484/304765/129932
hqh_giVnCig,247/251,1694386/814396/367179/977862/764785/733469/472873/635292/529975/484466/497746/482163/673928/480511/490205/492752/487415/571587/634229/630767/464299/313965/145598/329574/148292/321706/271007/362873/172691/315083/299130/127864/319050/143769/379895/134653/285341/98329/283379/69235/240669/111390/309974/105666/268488/274522/89317/280715/113049/294308/100935/278731/102999/449493/254026/410072/237198/181923
HZ4JDKAfrFA,398/251,1288222/381453/367364/601303/240275/682715/1532145/555756/831459/390305/405544/588196/557253/209195/345827/175304/947967/3348008/3273857/2130096/1331161/1473948/1767592/731168/1063334/409255/474744/285468/454501/546385/176634/256593/250364/407357/353971/178939/415414/241183/374778/234553/563760
I3LXamuTJus,398/251,2098249/1833587/1304494/1570492/1432489/722171/326471/759844/480998/717582/340490/865792/807528/639721/579699/715292/450421/446235/407953/392714/228245/377641/197138/393749/319184/337736/366368/386026/472989/455863/174151/653543/773737/709783/552581/588271/353355/420646/496751/547347/662504/810845/680341/509806/347597/628270/785698/374464/487571/395167/652292/708220/62525/18283/20841/11926
I5RcT0FKUUw,247/251,2603986/3686020/3709040/2794486/3231362/2923575/3818855/3311965/3683527
iiZDumC1RvE,247/251,3790915/1017315/1066270/1925734/1034760/867087/1056598/904161/1039402/901240/1953901/1024181/911655/1917409/1889983/1039135/1900732/862943/2118105/856434/1023223/903591/1898504/1695619/3085071/3528015/3708670/4035618/3463963/3677642/3596958/2986314/4582123/3266098/3390910
IKqVCLWHRcw,247/251,469967/198329/200746/239058/38367/238529/238008/199787/38368/235029/198384/199025/38368/239643/241244/38368/237738/391247/38368/239629/244448/246309/250811/249127/264044/262631/225966/38368/226793/38368/223717/38368/238250/38368/233062/38368/209613/38369/221129/38369/219086/38369/208269/38369/201160/38369/193138/199884/38369/192739/38369/116392/38369/32511
IoakUeODUzM,247/251,2172627/140309/916066/1507284/1607482/1542973/1272163/1130684/1154820/1200786/1169905/1155126/1172441/1332803/1264205/1151982/1756248/887019/698088/1183497/1045444/1075869/684541/448873/749090/615544/670251/541830/670412/608604/674125/554876/718821/555704/399500/495637/388398/388519/405730/473286/375196/167950/13172/17812/13129/17897/13667/18022/14442/7430
iWMjIEQIeUY,247/251,1920302/660377/723781/598244/1387485/1359533/1158069/1187510/1127688/1365542/1318345/1527209/1231147/1220823/1320109/1533152/1381934/1259200/630176/366080/864983/643792/741909/550206/583428/440485/550438/581500/464026/705864/477117/475703/684138/558583/645983/571044/696149/767577/455745/824096/508575/761623/724904/647268/665866/537838/511546/468051/543985/568656/460064/519740/693317/618906/808572/581484/832561
jBsAKfcy7k0,398/251,2095093/1324312/659592/622874/385623/665544/757863/262936/472089/1108197/803206/398231/265111/717744/467868/834431/1318777/1147116/1064981/1515439/1439259/971092/960985/526043/416331/406229/839928/707025/658473/585611/680667/437120/472621/541217/345793/484145/471901/559624/709467/428494/337303/343048/369918/291495/445282/518284/380100/299692/459219/490383/1032523/486136/600143/300977/1122842/518568/468053/667040/266844
JLBOrqucXzY,398/251,480805/250967/600369/396265/403046/307396/295976/236310/105884/547136/229870/155156/288290/172823/543521/313472/463043/374753/1548040/418949/328538/426371/313566/322174/71509/88083/241270/429843/120019/263158/168584/261212/389402/53958/235467/120513/214779/100987/70749/252001/245325/143039/219123/60627/35949/200361/129644/394042/127692/321204/247953/33957/549017/305745/147276/237469/492386/210275/307070/205569/370328/276364/78526/211088/69600/91547/257002/185232/323247/137647
jm64yW1K2-0,247/251,2620258/1198189/1106334/1101483/1194681/1232513/854416/1547734/875187/1123237/2433404/1445757/930677/1187822/903663/1908468/803608/847840/1664899/1455230/4130727/4865936/4925021/5238859/4843869/4614559/3786658/4056898/4304250/3192186/4064328/3058448
JoUo5fB_ges,398/251,1174900/388941/614255/638047/386441/580256/267947/797729/639243/621544/556666/401721/256338/624253/682917/688418/702723/207987/621488/579250/400231/677679/411046/263907/325880/266638/409111/335859/209814/280083/409084/379195/202549/377897/282449/318449/213723/424627/287182/416738/446291/177276/426017/333697/400778/378439/164772/235696/414113/440861/243970/353796/277008/301276/302674/456183/382620/231690/396857/260096/364547/313555/260859
jUqXeFIvZKw,398/251,1220825/149004/520928/3433040/772306/1302459/1453749/1037225/1329560/668529/1172083/609196/1643397/192521/931425/426183/652449/581178/1909546/923269/666400/242479/1092174/788195/1814072/266672/760871/1095235/1182598/1642870/1786615/1791514/2173820/1423344/1854852/2070090/2551460
