url,time,flow,chunk
0EwO1ir46nk,2024_11_26_02_57,192.168.38.62:55257-173.194.4.166:443,1282771/1139480/583845/777863/693220/402082/481754/636023/494180/507143/757140/703614/819766/673041/671485/735394/768569/698503/239214/246378/137425/110056/426424/249405/431613/315279/81066/172007/377654/320404/106768/256178/204508/371929/214423/457215/269105/282569/255296/402556/228498/408695/123670/114296/404713/494849/215730/466038/612188/396985/119899/208624/360632/390112/114463/348668/131383/305931/457625/388684/293787/439066/300305/156958/403006/415897/238705/316652/262643/153079/432452/466086/404235/345617/107471/172432/345985/310018/724896/279102/304956/119360/222062/292844/106318/366986/214572/455939
0EwO1ir46nk,2024_11_26_03_08,192.168.38.62:56092-74.125.171.38:443,1315544/583845/619360/851723/402082/481754/636023/494180/507143/757140/703614/819766/475160/355877/348257/165416/895413/314613/576393/416134/239214/219173/137425/110056/426424/249405/431613/315279/81066/331411/218250/320404/106768/256178/204508/371929/214423/457205/269105/282569/255296/402556/228498/408695/123670/275987/243022/494849/215730/466038/612188/396985/119899/208624/403791/536727/186324/390112/114463/348668/131383/305931/457625/388680/293787/154530/284728/300306/156959/403007/415898
0EwO1ir46nk,2024_11_26_03_08,192.168.38.62:56144-74.125.171.38:443,196788/345617/107471/172432/345985/310018/741250/279102/304956/119360/222062/292844/106318/366986/214572/455935
0EwO1ir46nk,2024_11_26_03_18,192.168.38.62:56224-74.125.171.38:443,1282771/777863/693220/402082/481754/636023/494180/507143/757140/703614/819766/475160/355877/513581/895413/314613/32947/416134/137425/110056/426424/409766/271252/315279/81066/172007/377654/320404/106768/256178/204508/371929/214423/457205/269105/282569/255296/402556/228498/408695/123670/114296/404713/494849/215730/466038/612188/396985/119899/208624/403791/98483/49331/114463/348668/131383/305931/457625/388680/293787/154530/284628/300305/156958/403006/415897/238705/158302/420993/153079/432452/308856/561465/345617/107471/172432/345985/310018/741250/279102/304956/119360/222062/292844/106318/366986/214572/455935
0EwO1ir46nk,2024_11_26_03_29,192.168.38.62:56353-173.194.4.166:443,1463020/1139480/583845/777863/693220/402082/481754/636023/494180/507143/757140/542409/980971/475160/355877/188295/894565/484236/450535/282461/416134/239214/246378/137425/110056/426424/409766/271252/315279/81066/172007/377654/320404/106768/460594/371929/214423/457205/269105/282569/255296/402556/228498/114867/123670/114296/404713/494849/215730/466038/612188/396985/119899/208624/403791/536727/186324/390112/114463/348668/131383/305931/457625/388680/293787/154530/284628/300306/156959/403007/415898/238705/158302/420993/153079
0EwO1ir46nk,2024_11_26_03_29,192.168.38.62:56414-173.194.4.166:443,308856/561465/345617/107471/172432/345985/279102/145545/278771/222062/292844/106318/366986/214572/455935
0EwO1ir46nk,2024_11_26_03_40,192.168.38.62:56500-173.194.4.166:443,1282771/1139480/211927/32946/774720/402082/481754/636023/494180/507143/757140/703614/819766/475160/355877/348257/329226/196787/190953/314283/136344/698503/239214/246378/137425/110056/426424/249405/431613/315279/81066/172012/377654/320404/106768/65715/16563/214423/457205/269105/282569/255296/402556/228498/408695/123670/275987/243022/494849/215730/466038/612188/396985/119899/208624/403791/114867/186324/390112/114463/348668/131383/305931/457625/388680/293787/154530/284628/300306/156959/403007/252569/402034/158302/420993/153079/432452/308856/561465/345617/107471/330162/188255/310018/741250/279102/145545/278771/222062/292844/106318/366986/214572/455935
0EwO1ir46nk,2024_11_26_03_50,192.168.38.62:56703-74.125.171.38:443,1315544/450791/802221/470405/619360/851723/402082/481754/253031/597633/550177/236597/757140/374191/329515/819766/673041/671485/735389/768569/282461/416134/239214/246378/137425/110056/426424/249405
0EwO1ir46nk,2024_11_26_03_50,192.168.38.62:56754-74.125.171.38:443,377654/320404/106768/256178/204508/371929/214423/457205/269105/282569/255296/402556/228498/408695/123670/275987/243022/494849/215730/466038/612188/396985/119899/208624/403791/536727/186324/390112/114463/348668/131383/305931/457625/388680/293787/154530/284628/300306/156959/403007/415898/238705/158302/420993/153079/432452/308856/561465/345617/107471/172432/345985/310018/741250/279102/145545/278771/222062/292844/106318/366986/214572/455935
0EwO1ir46nk,2024_11_26_04_01,192.168.38.62:56878-173.194.4.166:443,2502/848877/388523/195414/777863/400817/414673/413828/600769/597633/786682
